Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
1/30/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,NC,276XX,,,Web,1/29/2014,Closed with explanation,Yes,No,691977
6/1/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,Wells Fargo Home M ortgage is reporting incorrectly as a foreclosure on my credit file with all  XXXX  of the major credit bureaus. The property was not foreclosed on it was an approved short sale that went thru to completion/ closing without any problems. I previously disputed the status of the account with the credit bureaus however the only change was to note that I disputed the account.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MD,212XX,Servicemember,Consent provided,Web,6/1/2017,Closed with non-monetary relief,Yes,,2498580
7/29/2016,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,OH,43560,,Consent not provided,Web,7/29/2016,Closed with explanation,Yes,No,2037559
2/4/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MO,651XX,,Consent provided,Web,2/4/2018,Closed with explanation,Yes,,2803397
2/13/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",CA,92260,Older American,,Phone,2/14/2013,Closed with explanation,Yes,No,316183
10/15/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,PA,190XX,,,Web,10/16/2012,Closed with explanation,Yes,No,171565
3/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",FL,32244,Older American,,Web,3/19/2019,In progress,Yes,,3183760
1/10/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,FL,32257,,,Web,3/23/2012,Closed with relief,Yes,No,12082
9/21/2016,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,I sent a letter requesting proof that this account was in fact mine because I did n't recall the account. Once they sent me the information and I realized that it was my account I noticed that they were reporting the account open date as being the date that I spoke to someone from the collection company about the account. The open date should be reported as the date the account originally started with the original company. I would like for them to correct this.,,PORTFOLIO RECOVERY ASSOCIATES INC,PA,173XX,,Consent provided,Web,10/7/2016,Closed with explanation,Yes,Yes,2123007
2/14/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't temporarily postpone payments,"They are calling my employer and my work extension repeatedly every day rather than calling my mobile number. They are telling the receptionist personal information. I am trying to work with them, but this is harassment at this point.",,"Navient Solutions, LLC.",VA,222XX,,Consent provided,Web,2/14/2017,Closed with explanation,Yes,No,2341957
9/26/2018,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,90631,,,Referral,9/27/2018,Closed with monetary relief,Yes,,3030655
6/16/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",TX,78702,,,Web,6/18/2014,Closed with explanation,Yes,No,895772
3/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"Pinnacle Credit Services, LLC",PA,17404,,,Web,4/29/2014,Closed with explanation,Yes,Yes,785088
4/12/2018,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,,JPMORGAN CHASE & CO.,IL,60014,,,Referral,5/21/2018,Closed with explanation,Yes,,2913837
1/20/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",AZ,85032,,Consent not provided,Web,1/20/2017,Closed with explanation,Yes,No,2298449
2/27/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,190XX,,,Web,2/27/2014,Closed with explanation,Yes,No,736502
10/7/2015,Consumer Loan,Installment loan,Taking out the loan or lease,,"Current HE Loan with Chase was coming to term. Property address is XXXX XXXX XXXX XXXX NY XXXX. We began the refinance of the loan if mid XXXX. Chase rep is XXXX XXXX XXXX XXXX XXXX. Chase was given all of the documents requested and that was fulfilled by XXXX. During the month of XXXX XXXX called to state there was a "" missing payoff from when the original mortgage was with XXXX Bank which was taken over by XXXX BANK. She has contacted them and they found the loan was satisfied and will expedite the information to them. This will take 7-10 business days. '' She informed us that she is remaining in contact with them. On Wednesday, XXXX XXXX XXXX left a voice mail stating "" TD has not sent the information they said they would. The existing balance of {$130000.00} is due from us by Wednesday XXXX XXXX and there is nothing they can do. '' When contacted and told we were never asked to obtain that document and in fact we were told we satisfied the request for all materials, she stated it is not Chase 's job to get the loan satisfaction and they were doing us a favor. 
I called TD Bank today and finally spoke to XXXX XXXX is mortgage servicing. He was extremely helpful. He stated there is no request from anyone at Chase and he even had his supervisors look into it. We placed a conference call to XXXX XXXX at XXXX and she did not pick up. XXXX XXXX left a detailed voice mail and told her to contact him asap and she could email her request since one is on file.",,JPMORGAN CHASE & CO.,NY,105XX,,Consent provided,Web,10/7/2015,Closed,Yes,No,1597391
10/13/2016,Credit card,,Billing disputes,,"On one night of my stay at the XXXX this XXXX ( Friday, XXXX XXXX ) I took my friends to XXXX. The bill of {$3300.00} I put on my Visa, which I handed to the staff, along with my license, to take and charge. I signed for the {$3300.00} and went on my way. However, I noticed after I got home the following week that there was a separate charge for {$630.00} on my visa, a charge that I did n't authorize. Visa sent me copies of both receipts, which to my surprise were both signed. The signature on the {$630.00} is not my signature. Visa is refusing to credit me because XXXX had a copy of my license, which I readily admit I handed over to pay the {$3300.00}. I want the {$630.00} refunded to my Visa. Visa says there is nothing they can do because its a "" he said, she said '' situation. I contacted the merchant and they also refuse to refund the fraudulent charge. Visa is supposed to protect its customers from fraud.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,,,Consent provided,Web,10/17/2016,Closed with explanation,Yes,No,2159837
10/29/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,MI,48382,,,Fax,10/31/2012,Closed with explanation,Yes,No,177550
3/11/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"PLEASE NOTE THAT I ONLY HAD THE CHOICE OF XXXX COMPANY BUT THIS COMPLAINT IS AGAINST : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX I have reasons to believe that the documentation used to file a foreclosure action against me are fraudulent. The Assignment of Mortgage that supposedly assigns the mortgage to the Plaintiff in the case, XXXX XXXX XXXX XXXX, is fraudulent for the following reasons : 1. Assignment assigns the mortgage on XXXX XXXX, XXXX to XXXX XXXX trust. This is not possible because this trust closed in XXXX XXXX. Two years prior to the assignment of mortgage. 
2. The assignment assigns the mortgage to the trust approximately 20 days AFTER the filing of the XXXX XXXX to Foreclosure and the Foreclosure Complaint. This would make it impossible for the current plaintiff, XXXX. 
Bank XXXX XXXX, to file the complaint because they would not have had standing at the time they filed the complaint. 
3. The assignment has a clause backdating the date it was filed in order to serve their purpose. This is considered fraud specially when the Note bears no date to show that in fact that note was assigned on the backdated date. Backdating an assignment is a fraud and would make it null and void. 
4. The assignment of mortgage was signed by XXXX XXXX and notarized by XXXX XXXX XXXX, known robosigners. 
5. The assignment of mortgage was prepared and filed by XXXX XXXX XXXX, foreclosure mill attorney who was disbarred for using fraudulent documents to file foreclosure complaints. 
6. In searching the XXXX records for XXXX XXXX, the mortgage loan in question does not appear anywhere in the mortgage loan tape of the loans that were part of the XXXX XXXX trust. 
7. XXXX XXXX XXXX XXXX XXXX XXXX XXXX during the foreclosure process in XXXX they provided a note which was endorsed and it stated : Pay to the order of XXXX Bank XXXX XXXX as trustee for XXXX XXXX without recourse and signed by XXXX XXXX. 5 YEARS XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX provided to bankruptcy court during my bankruptcy a note with a blank endorsement. This is after an original with an endorsement had been provided to the court. Honestly they must have magical powers to be able to remove and endorsement that is endorsed to XXXX Bank XXXX XXXX as trustee for XXXX XXXX and then 5 years later the note that is provided in Federal court has a blank endorsement and not endorsed to anyone. Again, this is fraud. I sent letters to XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX Bank XXXX XXXX, the judges presiding over my case, the Chief Judge and the Foreclosure Administrative Judge and to the clerk of XXXX XXXX XXXX Courts requesting a full investigation of these allegations and requesting proof that they in fact own said mortgage but have never received complete and concrete answers to any of my suspicions nor has an investigation been done on my land records or court records. Although I have requested answers and clear and definite proof with documentation as to their ownership of said mortgage and note to date, my questions have not been answered and no documentation showing clear and definite proof of their ownership of said mortgage loan has ever been provided. I keep on getting the runaround from everyone and all they do is response with things like, it is legal to backdate an assignment of mortgage or there is no fraud. I am attaching a letter that I sent to XXXX XXXX XXXX Mortgage Fraud Department with all my concerns. None of my concerns have been addressed nor have they provided any documentation proving that they are in fact the owners of said mortgage and note.",,OCWEN LOAN SERVICING LLC,FL,331XX,,Consent provided,Web,3/11/2016,Closed with explanation,Yes,Yes,1827895
3/9/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,330XX,,Other,Web,3/9/2019,Closed with non-monetary relief,Yes,,3174854
11/4/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,VA,22554,,,Referral,11/10/2015,Closed with explanation,Yes,No,1639880
9/7/2015,Credit card,,Rewards,,"The American Express XXXX XXXX Preferred Card was issued by mail and I did not receive the card. I contacted American Express, advised that I did not receive the card. American Express notified me that they would ship a replacement card via XXXX XXXX Delivery. I did not receive the card. The card was allegedly shipped by for XXXX delivery several more times over the next two weeks. I finally received the card more than a month after I was initially told that I would receive the card. I was contacted by American Express Card Member Services and was advised that I would receive either XXXX points and XXXX credit for the problems with the delivery of the card. I later determined that was a confusing promise by Amex, as the XXXX XXXX Rewards card accumulates a cash credit and not point credits. I never received the XXXX credit or the XXXX point equivalent as promised. When I called Amex Customer Service there were no notes in their system regarding the previous conversations or the issues with the delivery of the card. I was a previous Amex cardholder through XXXX for years and I have come to expect a certain level of customer service from American Express. I am embarrassed that my customer service experience through American Express has not been as pleasurable as my American Express Customer Service experience through XXXX.",,AMERICAN EXPRESS COMPANY,NC,282XX,,Consent provided,Web,9/9/2015,Closed with monetary relief,Yes,No,1554242
5/15/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,IN,46226,,,Referral,5/15/2012,Closed without relief,Yes,No,77859
4/29/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90605,,,Referral,5/1/2014,Closed with explanation,Yes,No,829048
4/17/2018,Student loan,Private student loan,Incorrect information on your report,Account status incorrect,,,AES/PHEAA,RI,02889,,Consent not provided,Web,4/17/2018,Closed with explanation,Yes,,2877000
3/6/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,OR,97477,,,Web,3/6/2014,Closed with explanation,Yes,Yes,747511
2/23/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,07712,,,Fax,2/23/2018,Closed with explanation,Yes,,2823551
7/16/2012,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",TX,77054,,,Referral,7/19/2012,Closed with explanation,Yes,No,118149
9/26/2015,Credit reporting,,Incorrect information on credit report,Account status,"Equifax is listing a paid account which has been paid and is affecting my credit. 
Equifax is the only bureau that lists this as such.",,"EQUIFAX, INC.",NJ,085XX,,Consent provided,Web,9/26/2015,Closed with explanation,Yes,Yes,1581671
2/28/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NJ,07028,,,Postal mail,3/22/2013,Closed with explanation,Yes,Yes,337035
1/27/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,U.S. BANCORP,CA,934XX,,,Web,1/28/2015,Closed with monetary relief,Yes,No,1212080
8/21/2016,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,,,TRANSWORLD SYSTEMS INC,OK,73159,Older American,Consent not provided,Web,8/21/2016,Closed with explanation,Yes,No,2073918
11/8/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TN,373XX,,,Referral,11/14/2012,Closed with explanation,Yes,Yes,187639
5/9/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,NM,883XX,Older American,,Phone,6/27/2013,Closed with monetary relief,Yes,Yes,403541
6/21/2015,Payday loan,,Charged fees or interest I didn't expect,,"I received numerous calls & emails from CashCall ( the company ) to get loans. I needed the $ $ $ and I finally gave in and got into a financial situation ( 125 % ) interest and have been challenging the CashCall Inc. and finally they reduced the interest rate from 125 % to % 75. 

I was wondering if could get assistance from your organization to get a better interest rate from CashCall Inc.",Company believes it acted appropriately as authorized by contract or law,"CASHCALL, INC.",VA,221XX,,Consent provided,Web,6/23/2015,Closed with explanation,Yes,Yes,1430873
1/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10459,Servicemember,Consent not provided,Web,1/6/2019,Closed with non-monetary relief,Yes,,3117827
4/5/2016,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD BANK US HOLDING COMPANY,NJ,08901,,,Referral,4/7/2016,Closed with explanation,Yes,No,1865343
11/8/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,SC,29576,,,Web,11/8/2012,Closed with explanation,Yes,No,187528
11/17/2017,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"Some months ago I began receiving credit cards offers from Capital One. Both my wife and I have permanently opted out of receiving credit card offers so these solicitations stood out. We have no business dealings with Capital One. About two or three months ago I called them to 1. ask them to stop sending the offers, 2. ask them the source of my contact info ( I wanted to know which company sold my contact info without my permission ). Capital One agreed to remove our names from their mailing list but refused to provide the source of our contact information.
A month later my wife got another Capital One credit card offer in the mail and yesterday I got another one. Can they be fined for this? To whom are they accountable for ignoring both the Opt Out and my telephone request?",,CAPITAL ONE FINANCIAL CORPORATION,MD,,,Consent provided,Web,11/17/2017,Closed with explanation,Yes,,2732022
9/11/2015,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"I received a call from XXXX XXXX XXXX from Phoenix Equity. While on the phone he repeatedly claimed I owed a debt on a credit card. He would not tell me what the card was or when it was from until I pressed him. He said it was a capital XXXX card from 2004. When I stated that I could not accept a debt that old or even knew if it was legitimate he stated, "" This amount ( XXXX is his claim ) is a fraudulent amount and we can prosecute and put you in jail for up to a year. '' I stated I knew my rights and he could not threaten to sue me. He stated, "" Of course you do, you are a fraudulent person. '' The name he gave was XXXX XXXX and he gave me his phone number as XXXX ext XXXX.",,PHOENIX EQUITY PARTNERS LLC,NV,895XX,,Consent provided,Web,9/16/2015,Untimely response,No,No,1561095
6/2/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,,Innovis,NY,11784,,Consent not provided,Web,6/2/2018,Closed with explanation,Yes,,2924542
7/1/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"SELECT PORTFOLIO SERVICING, INC.",NC,28056,,,Web,7/1/2014,Closed with explanation,Yes,No,918836
11/15/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",UT,84020,,Consent not provided,Web,11/15/2018,Closed with explanation,Yes,,3073627
7/21/2015,Mortgage,Other mortgage,Other,,,,NATIONSTAR MORTGAGE,NY,11207,,,Postal mail,7/28/2015,Closed with explanation,Yes,No,1476595
8/12/2014,Credit card,,Delinquent account,,,,Resurgent Capital Services L.P.,MA,01826,,,Web,8/14/2014,Closed with explanation,Yes,Yes,979792
7/12/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,SC,29204,,Consent not provided,Web,7/12/2018,Closed with non-monetary relief,Yes,,2960971
11/2/2015,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"URS Holding, LLC",TX,786XX,,Consent not provided,Web,11/2/2015,Closed with explanation,Yes,Yes,1636541
4/2/2018,Mortgage,Other type of mortgage,Struggling to pay mortgage,,,,OCWEN LOAN SERVICING LLC,CA,90066,,,Referral,4/18/2018,Closed with explanation,Yes,,2879548
5/24/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,WI,541XX,,,Web,5/30/2012,Closed with explanation,Yes,No,87050
8/31/2018,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,MTACC Inc.,CA,94583,,Other,Web,8/31/2018,Untimely response,No,,3007302
11/21/2016,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,OH,44129,,Consent not provided,Web,11/21/2016,Closed with explanation,Yes,No,2218036
4/25/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OK,749XX,,,Postal mail,4/25/2013,Closed with explanation,Yes,No,391436
5/30/2018,Mortgage,Conventional home mortgage,Trouble during payment process,,,,"SELECT PORTFOLIO SERVICING, INC.",FL,33404,,,Phone,5/30/2018,Closed with explanation,No,,2921418
9/23/2015,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,"PDQ Services , Inc is in violation of HIPAA on an account you have reported on my credit file. The company is XXXX XXXX XXXX, XXXX XXXX. ( A XXXX search of "" XXXX XXXX XXXX XXXX '' returns the medical office # XXXX in the search results. ) '' Under a new FACTA provision, consumer reporting agencies may not report the name, address, and telephone number of any medical creditor unless the information is provided in codes that do not identify or infer the provider of care or the individual 's medical condition. This does not apply to insurance companies selling other than property and casualty insurance. ( FCRA 605 ( a ) ( 6 ) ). "" I am requesting that you delete any reference to this account from my credit files contained on all XXXX credit bureaus..",Company believes it acted appropriately as authorized by contract or law,"PDQ Services, Inc.",GA,302XX,Servicemember,Consent provided,Web,9/23/2015,Closed with explanation,Yes,Yes,1576648
3/20/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30135,,Consent not provided,Web,3/20/2018,Closed with explanation,Yes,,2848610
10/7/2015,Consumer Loan,Vehicle loan,Taking out the loan or lease,,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,NH,038XX,,Consent not provided,Web,10/7/2015,Closed with explanation,Yes,No,1596593
5/1/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NJ,07108,,,Web,5/3/2012,Closed with explanation,Yes,Yes,68251
12/4/2018,"Credit reporting, credit repair services, or other personal consumer reports",Other personal consumer report,Incorrect information on your report,Information is incorrect,"According to my recent credit report request from XXXX, Transunion, and XXXX there are several inaccurate accounts on my report that I demand removal as they are in violation of the following applicable credit reporting laws : 15 USC 1681623 ( a ) of FCRA/FACTA I am exercising my right to audit your records that claim you have verified to the credit bureaus this debt. 

15 USC 168123 ( a ) 7 requires early warning notice ONLY after they have notified said person before it is placed on the credit report ( See Attached ) Note : There is a {$1000.00} fine if this request is not completed in 30 days as stated in FACTA. 


VIOLATIONS OF CREDITORS & XXXX, TRANSUNION, & XXXX VIOLATION COUNT 1 [ 15 U.S.C. 1681c ] ( a ) There are several items on my report that are not legally allowed on my report VIOLATION COUNT 2 [ 15 U.S.C. 1681c-1 ] ( a ) I Have accounts on my report that do not belong to me and my identity may be  compromised. 

VIOLATION COUNT 3 [ 15 U.S.C. 1681e ] Compliance procedures VIOLATION COUNT 4 [ 15 U.S.C. 1681h ] All of the creditors do not have records of my proper identification CREDITORS AND ACCOUNTS TO BE REMOVED XXXX XXXX XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX  XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX/XXXX XXXX XXXX  Account Number XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX   XXXX XXXX Account Number XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX XXXX Account Number XXXX XXXX Account Type Collection Account Collection Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX  XXXX XXXX XXXX XXXX   XXXX Transunion Account Number XXXX XXXX XXXX Account Type Revolving Account Revolving Account Revolving Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX XXXX Account Number XXXX Account Type Revolving Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX & XXXX XXXX XXXX XXXX Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,112XX,,Consent provided,Web,12/4/2018,Closed with explanation,Yes,,3091009
4/16/2015,Consumer Loan,Vehicle lease,Managing the loan or lease,,"We made a electronic bill pay through our bank that was incorrect and subsequently overpaid the amount due. When we advised VW Credit of the problem they REFUSED to return our money. Even after being assured by our bank that the funds had cleared, VW refused to return the overpayment. VW can not be trusted. Still have not been repaid for the over payment.",,VW Credit,CA,936XX,,Consent provided,Web,4/16/2015,Closed with explanation,Yes,No,1332411
4/4/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,30058,,,Referral,4/4/2018,Closed with non-monetary relief,Yes,,2864496
12/17/2016,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WA,98146,,Consent not provided,Web,12/17/2016,Closed with explanation,Yes,No,2254135
11/26/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,I went to buy a car and was told by the dealer i had been denied a loan because i had 2 collection accounts on my credit report. I obtained the credit reports and it said I owe {$190.00} to XXXX & XXXX XXXX and originated with XXXX XXXX and {$570.00} to XXXX XXXX XXXX originating with XXXX XXXX XXXX. Everyone who has owned a car knows you can not run a bill with insurance. If you do not pay by your due date your policy is cancelled and if you have an accident and attempt to make a claim it will be denied. So the premise under which i supposedly owe this debt is entirely fraudulent. I believe XXXX XXXX and XXXXXXXX XXXX XXXX has committed fraud by selling this fraudulent debt to XXXX & XXXX XXXX and XXXX XXXX XXXX which is attempting to collect it from me. This fraudulent debt has caused my credit rating to go down by as much as 200 points.,,"EQUIFAX, INC.",FL,32238,,Consent provided,Web,11/26/2018,Closed with explanation,Yes,,3082654
11/2/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,We consistently receive phone calls to our home number from Portfolio Recovery Services. I have asked them not to call and confirmed we do not have an account in debt collection. They continue to harrass us by contacting our home number and hanging up or leaving a voicemail.,,PORTFOLIO RECOVERY ASSOCIATES INC,TX,750XX,Servicemember,Consent provided,Web,11/2/2015,Closed with explanation,Yes,No,1635707
6/18/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,BB&T CORPORATION,NC,27103,,,Referral,6/19/2013,Closed with explanation,Yes,Yes,435298
1/10/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,PHH Mortgage Services Corporation,GA,30058,,,Web,1/11/2013,Closed with explanation,Yes,No,227756
1/22/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,M&T BANK CORPORATION,VA,234XX,,,Web,1/23/2013,Closed with explanation,Yes,No,253775
11/29/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",NY,11758,,Consent not provided,Web,11/29/2016,Closed with explanation,Yes,Yes,2224901
1/19/2018,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,,FIRSTBANK PUERTO RICO,PR,00680,,,Referral,1/25/2018,Closed with explanation,Yes,,2789274
3/5/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,BB&T CORPORATION,GA,304XX,,,Referral,3/7/2013,Closed with explanation,Yes,Yes,342243
10/1/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,MORGAN STANLEY & CO. LLC,PA,18505,Servicemember,,Web,10/17/2014,Closed with explanation,Yes,Yes,1054072
12/7/2017,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33320,,Other,Web,12/7/2017,Closed with explanation,Yes,,2749290
9/15/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,AL,366XX,Older American,,Web,9/15/2014,Closed with explanation,Yes,No,1029662
2/5/2019,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,,,,"LDF Holdings, LLC",MI,49601,,Consent not provided,Web,2/12/2019,Closed with explanation,Yes,,3143163
12/20/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91606,,,Referral,12/21/2012,Closed with explanation,Yes,No,213662
12/11/2013,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,,,"SUNTRUST BANKS, INC.",VA,23321,Servicemember,,Web,12/18/2013,Closed with explanation,Yes,No,630414
